Cliente;Edad;Renta;Sexo;EstadoCivil;NivelSocioEconomico;Departamento;AntiguedadCuenta_Meses;RegistraAdicionales;NumeroAdicionales;AntiguedadAdicionales_Meses;LineaCreditoNormal;SituacionCuenta;PromediodePagos;SaldoExtra;SaldoNormal;SaldoTotal;HabitodePago1;HabitodePago2;HabitodePago3;HabitodePago4;HabitodePago5;HabitodePago6;HabitodePago7;HabitodePago8;PeorHabito Pago;FlagRefinanciadoHistórico;FlagRefinanciado;DiasMora200812;DiasMora200901;DiasMora200902;DiasMora200903;DiasMora200904;DiasMora200905;CódigoInstitucion;PagaDespues;DispEfectivo;CalificacionSBS;CompraAnual_200806_200905;NroTransaccionesAnual_200806_200905;CompraMensualMaxima_200806_200905;Flag_Cliente
1486647;36;5243;M;S;B;LIMA;40.4;0;;;2400;0;1;5265;2299;7565;1;1;2;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;2;2;1;851;5;391;1
1887533;35;;F;S;N;LAMBAYEQUE;22.47;1;3;21.87;500;0;4;0;334;334;2;7;A;4;2;2;4;4;;N/V;No Registró;1;1;0;0;0;1;0;0;2;0;2732.71;76;307.55;1
387007;41;4646;M;C;B;LIMA;116.73;1;1;45.27;5800;0;1;0;1866;1866;1;2;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;7916.92;41;1607.9;1
571830;45;2720;F;D;C;LIMA;95.6;0;;;2750;0;3;0;2030;2030;2;4;2;1;1;2;4;1;;N/V;No Registró;0;0;0;0;0;0;0;2;0;0;3555.91;33;2054.16;1
1435582;32;;M;S;N;AREQUIPA;42.83;0;;;1700;0;1;0;1102;1102;1;1;0;0;0;0;1;0;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;2282.62;6;1649;1
1054938;26;1020;F;S;C;LIMA;47.57;0;;;1700;0;2;0;118;118;1;1;2;2;4;2;2;1;;N/V;No Registró;0;0;0;0;0;0;0;0;3;0;810.26;9;497;1
314652;57;;F;S;A;LIMA;155.27;1;1;59.3;10100;0;1;0;3242;3242;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3775.62;76;577;1
478531;41;550;F;S;D;LIMA;106.43;0;;;400;0;3;752;913;1665;4;2;4;4;4;2;2;1;;N/V;No Registró;0;0;0;0;0;16;300;0;0;0;3591.02;13;973.3;1
633732;46;275;F;S;N;AREQUIPA;135.13;0;;;3000;0;5;0;459;459;1;2;9;4;9;4;9;4;;N/V;No Registró;21;0;0;0;0;0;0;0;1;0;2221.84;15;881.9;1
2254275;51;;F;C;N;LAMBAYEQUE;7.37;0;;;700;5;3;0;324;324;4;2;4;4;1;1;;;;N/V;No Registró;0;0;0;0;0;26;0;0;0;0;888.27;23;449.37;1
60612;54;2486;M;C;N;LAMBAYEQUE;69.17;1;1;56.27;800;0;3;0;903;903;1;4;2;9;4;4;2;2;;N/V;No Registró;0;21;0;0;0;0;;0;4;0;3757.2;22;554.05;1
1968098;42;;M;S;N;LAMBAYEQUE;18.43;0;;;1100;5;3;0;441;441;4;4;2;4;2;4;2;4;;N/V;No Registró;0;0;0;0;0;21;0;1;5;0;3090.16;51;606.49;1
52432;37;2205;F;C;N;AREQUIPA;69.93;1;1;45.5;3100;0;2;2760;-1383;1378;4;4;1;1;1;2;2;2;;N/V;No Registró;0;0;0;0;0;0;;2;4;0;2240.91;29;409.9;1
430564;44;;F;S;C;LIMA;145.2;1;1;28.23;1000;0;6;0;546;546;A;A;4;2;0;1;9;4;;N/V;No Registró;0;0;0;0;0;0;0;2;1;0;1890.82;36;339.01;1
537778;31;1800;F;S;B;LIMA;98.77;0;;;2200;0;8;0;936;936;A;A;A;4;7;A;4;9;;N/V;No Registró;0;0;23;26;0;0;0;1;2;0;2720.79;13;902.8;1
878785;46;;F;C;C;LIMA;80.5;0;;;1500;0;1;0;411;411;2;1;1;1;1;2;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;219.9;2;130;1
468014;35;986;F;S;C;LIMA;117.03;0;;;2600;0;2;639;3177;3816;2;2;2;2;2;2;2;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;2269;3;2269;1
436241;39;;F;S;B;LIMA;142;0;;;2340;0;2;0;117;117;2;1;2;2;2;2;1;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;482.93;9;329.78;1
24921;66;;M;S;N;LA LIBERTAD;72.53;0;;;500;0;2;0;365;365;2;2;2;1;0;0;0;0;;N/V;No Registró;1;0;0;1;0;1;;0;0;0;759;1;759;1
744822;56;4055;M;C;N;PIURA;88.1;1;1;44.37;8900;0;1;0;68;68;1;1;1;1;1;2;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3187.7;4;3038.9;1
2002718;37;;F;S;D;LIMA;17.1;0;;;400;0;1;0;342;342;2;1;1;2;1;1;1;0;;N/V;No Registró;0;0;0;0;0;0;400;0;0;0;727;3;399;1
2292493;45;;M;S;N;ICA;6.1;0;;;800;0;1;0;40;40;1;1;1;1;1;;;;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;111.72;3;67.8;1
2093456;28;;F;S;N;LA LIBERTAD;13.37;1;1;0.73;500;0;1;0;464;464;1;1;1;1;2;1;1;1;;N/V;No Registró;0;0;0;0;0;0;956;0;0;0;3815.42;100;702.22;1
1558697;33;;M;S;C;LIMA;36.93;1;1;35.6;1300;0;4;0;735;735;9;4;1;2;2;2;2;2;;N/V;No Registró;0;0;0;1;0;0;0;0;0;0;2722.12;19;924;1
1893130;34;1613;M;S;N;CAJAMARCA;21.57;0;;;1200;0;1;0;2973;2973;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;9286.63;53;3780.9;1
2101414;22;;M;S;C;LIMA;13.07;0;;;1200;0;7;0;591;591;4;1;9;A;B;B;B;A;;N/V;No Registró;6;6;0;0;5;0;0;0;0;0;2973.42;74;765.5;1
1544088;39;;M;S;D;LIMA;37.5;0;;;700;0;2;0;574;574;1;4;4;1;1;1;0;0;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1153.9;3;549;1
1734498;30;;M;S;N;LA LIBERTAD;10.93;0;;;500;0;1;0;389;389;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3463.73;66;715.1;1
1048017;34;;F;S;N;LA LIBERTAD;48.1;0;;;500;0;3;0;40;40;7;4;2;2;2;4;2;2;;N/V;No Registró;1;1;0;1;0;0;400;0;0;0;1164.11;21;385.94;1
848534;34;;M;S;C;LIMA;82.5;0;;;3600;0;3;463;3578;4041;2;2;2;9;4;2;2;1;;N/V;No Registró;0;0;0;0;0;0;0;1;8;1;4397.45;50;1376.9;1
356551;69;;F;C;C;LIMA;133.73;0;;;1400;0;2;0;882;882;1;2;2;2;2;2;1;2;;N/V;No Registró;1;1;0;1;0;1;0;0;7;0;2051.93;26;460.76;1
481475;35;605;F;S;C;LIMA;106.1;0;;;1650;0;8;0;754;754;A;A;A;A;4;9;4;9;;N/V;No Registró;6;6;3;6;5;0;0;0;0;0;3653.5;21;911.75;1
1083082;28;1000;F;S;N;LA LIBERTAD;45.33;0;;;1800;0;2;0;557;557;2;2;2;2;2;2;2;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;2009.27;28;798.88;1
1530081;24;;M;S;C;LIMA;28.67;0;;;1100;0;3;0;1517;1517;1;1;2;2;2;A;A;4;;N/V;No Registró;0;0;0;0;0;0;0;2;2;0;5322.9;7;2299;1
321209;42;;F;S;A;LIMA;148.37;1;1;2.9;15000;0;1;208;16840;17047;1;2;1;2;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;1;1;1;9744.04;92;3420.6;1
34261;50;;M;S;C;LIMA;71.83;0;;;3200;0;3;4742;1672;6414;4;4;2;2;1;2;2;1;;N/V;No Registró;0;0;0;11;10;0;0;2;0;0;8657.51;77;3609.9;1
747720;37;3974;M;C;N;AREQUIPA;87.83;0;;;4200;0;4;0;966;966;9;4;7;4;2;2;1;2;;N/V;No Registró;0;0;23;0;25;0;0;0;2;0;3450.51;43;728.8;1
102247;59;672;F;C;C;LIMA;118.67;1;1;29.83;3100;0;2;0;945;945;2;2;2;2;2;2;2;2;;N/V;No Registró;1;1;0;1;0;0;0;0;0;0;523.62;4;385.7;1
242096;55;1920;F;C;A;LIMA;149.3;0;;;10800;0;2;0;1757;1757;4;1;1;2;1;1;2;1;;N/V;No Registró;0;0;0;0;0;0;0;1;1;0;2162.5;47;399;1
251;35;550;M;S;D;LIMA;74.13;1;1;0.53;300;0;1;0;297;297;1;2;1;2;1;2;1;2;;N/V;No Registró;0;0;0;0;0;0;400;0;0;0;1902.38;41;624.48;1
248001;55;;F;C;A;LIMA;146.1;1;1;50.3;20000;0;1;0;189;189;1;2;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1343.03;14;397.66;1
1130977;26;;F;S;C;LIMA;26.4;0;;;800;0;2;0;22;22;1;1;1;1;1;1;1;4;;N/V;No Registró;1;1;0;0;0;1;0;0;0;1;698;17;578.2;1
32869;37;;M;S;N;PIURA;71.93;0;;;500;0;1;0;251;251;1;1;1;1;1;4;2;2;;N/V;No Registró;0;0;0;0;0;0;300;1;11;0;534.2;3;399;1
2149075;41;5411;M;S;D;LIMA;11.23;0;;;400;5;3;0;37;37;9;4;1;2;2;2;2;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;4307.08;58;597.4;1
1715707;56;;M;S;C;LIMA;29.97;0;;;500;0;4;74;177;252;9;4;2;2;2;2;1;4;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;760.67;24;199;1
2295915;30;605;M;S;D;LIMA;6;1;1;5.97;500;0;1;0;338;338;1;1;1;1;1;;;;;N/V;No Registró;1;0;0;0;0;0;0;0;0;0;1010.83;8;514.18;1
2151516;31;;F;S;N;PIURA;7.33;0;;;500;0;2;0;412;412;2;2;2;2;1;2;;;;N/V;No Registró;0;0;0;0;0;0;0;0;2;0;1565.27;19;407.7;1
1780467;30;;M;S;N;LAMBAYEQUE;26.93;1;1;26.67;500;5;8;0;394;394;4;1;B;C;B;A;A;A;;N/V;No Registró;62;0;0;0;0;1;400;0;0;1;1203.69;27;351.7;1
347172;42;6595;M;S;A;LIMA;136.9;0;;;11100;0;2;0;290;290;2;4;2;2;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1994.73;37;437.2;1
1050775;41;;F;S;C;LIMA;47.9;1;1;15.1;1800;0;1;0;1261;1261;1;1;2;2;1;2;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3095.95;21;1774;1
1267822;26;;M;S;N;PIURA;9.47;1;1;3.93;1200;0;1;0;1282;1282;1;2;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;5590.86;67;2027.33;1
2236759;36;;F;C;N;LAMBAYEQUE;8.1;0;;;2800;5;5;0;541;541;9;4;2;9;1;4;4;;;N/V;No Registró;1;1;0;1;0;1;0;0;2;0;4300.98;55;1194.4;1
21675;45;;M;S;C;LIMA;72.73;0;;;3000;0;1;0;504;504;1;1;1;1;1;0;0;1;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;189.8;4;169.8;1
1235400;47;;F;S;C;LIMA;34.73;0;;;800;0;3;0;469;469;9;4;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;25;0;0;0;0;0;1875.02;36;417.2;1
1947744;26;611;M;C;C;LIMA;19.33;0;;;1200;0;5;0;532;532;4;9;4;2;B;A;4;1;;N/V;No Registró;56;0;0;0;0;0;0;2;0;0;1513.27;9;943.81;1
1672753;28;550;F;S;C;LIMA;31.8;1;3;31.23;1200;0;1;1256;876;2132;1;1;1;1;1;1;1;2;;N/V;No Registró;0;0;0;0;0;0;0;2;0;0;669.78;5;349;1
785487;34;550;M;S;N;AREQUIPA;85.13;0;;;1050;5;3;1587;1190;2778;4;4;4;2;4;2;2;2;;N/V;No Registró;0;0;0;0;0;0;0;1;2;0;1354.04;32;551.9;1
2245709;36;;F;S;N;LA LIBERTAD;7.7;0;;;300;5;3;0;458;458;4;7;4;2;1;1;;;;N/V;No Registró;0;0;3;6;5;36;400;0;0;0;2256.1;59;399.33;1
1989689;40;634;F;S;C;LIMA;17.63;1;2;17.3;1200;0;1;1121;63;1184;1;2;2;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;1;0;0;0;0;1555.44;50;219.04;1
893949;74;1347;M;C;C;LIMA;131.17;1;1;42.03;1000;0;2;0;493;493;2;2;4;1;2;2;2;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;6540.04;49;2163.7;1
1795673;28;1853;M;S;D;LIMA;26.27;1;2;25.57;600;0;2;0;332;332;1;1;1;1;1;1;4;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;2916.15;69;349.43;1
1004494;36;;F;C;C;LIMA;51.53;0;;;1100;5;5;0;1124;1124;4;2;1;A;A;4;2;9;;Ref.C;Registró Refinanciación;41;0;0;0;0;11;0;0;0;1;3167.05;29;612.08;1
1746225;49;837;F;S;N;LA LIBERTAD;28.43;1;3;28.33;1200;0;6;315;750;1066;A;A;4;9;4;2;2;2;;N/V;No Registró;0;0;0;21;20;21;0;0;0;0;1790.97;22;1011.6;1
1406920;37;846;F;S;N;PIURA;44.53;0;;;800;0;3;0;412;412;1;2;1;1;7;4;4;4;;N/V;No Registró;0;0;0;0;0;1;0;0;0;0;1046;1;1046;1
1056987;35;1199;M;S;C;LIMA;47.4;1;1;47.27;1000;0;8;0;122;122;4;0;A;A;A;A;4;9;;N/V;No Registró;11;42;0;0;10;0;0;0;0;1;1539.22;16;707.71;1
2006886;22;;F;S;D;LIMA;16.9;0;;;500;5;4;0;555;555;9;4;1;1;2;9;4;2;;N/V;No Registró;0;0;0;11;41;11;0;0;1;2;3009.49;48;401.89;1
1764151;25;;M;S;D;LIMA;27.67;0;;;500;0;2;185;502;688;1;1;7;4;1;2;2;2;;Ref.C;Registró Refinanciación;0;0;23;0;0;0;0;0;3;1;1330.07;46;317.9;1
814459;32;;M;S;B;LIMA;117.2;1;1;30.1;4700;5;6;4239;4492;8731;A;A;4;9;4;2;4;2;;N/V;No Registró;1;1;0;1;0;1;0;0;0;0;4343;45;1186.9;1
674321;29;;F;S;D;LIMA;93.47;0;;;500;0;3;0;274;274;1;1;2;2;0;1;7;7;;N/V;No Registró;;0;0;0;0;0;401;0;0;0;711.74;11;211.8;1
1702153;26;;F;S;D;LIMA;30.47;0;;;600;0;5;0;325;325;2;4;9;4;B;A;4;2;;N/V;No Registró;;11;0;11;0;11;0;0;1;1;1717.39;41;688.89;1
62417;45;825;F;C;C;LIMA;68.97;1;1;22;2900;0;2;1229;2435;3664;4;2;2;2;2;2;2;2;;N/V;No Registró;0;0;0;0;0;0;0;0;2;0;1247.68;8;610.4;1
1620288;41;;F;S;C;LIMA;34.23;1;3;34.03;1500;0;2;2773;2400;5173;4;1;1;2;2;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;1;8;0;1140.62;17;456.27;1
814781;33;1376;F;S;C;LIMA;117;0;;;2300;0;2;0;1990;1990;4;1;1;1;1;2;2;1;;N/V;No Registró;0;0;0;0;0;0;0;0;1;1;223.9;5;180.1;1
1991064;33;;M;S;D;LIMA;17.6;0;;;500;0;2;0;443;443;2;2;2;2;1;1;2;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1732.19;18;268.7;1
408244;40;1555;F;C;C;LIMA;161.3;0;;;800;0;8;0;633;633;4;B;A;A;4;0;0;0;;N/V;No Registró;0;16;13;0;0;16;0;0;0;0;1044.6;3;555;1
603082;52;3100;F;D;A;LIMA;145.23;1;1;38.93;3700;0;1;0;204;204;1;1;1;1;0;1;1;1;;N/V;No Registró;;0;0;0;0;0;0;0;0;0;1577.22;9;519.7;1
271312;45;0;M;S;B;LIMA;137.57;0;;;6000;0;3;0;664;664;1;9;4;2;2;2;2;1;;N/V;No Registró;0;0;3;6;0;0;0;0;0;0;12551.55;50;5951.95;1
2042324;30;1415;M;S;N;AREQUIPA;15.37;1;2;15;500;0;5;0;161;161;4;1;4;9;A;4;1;B;;N/V;No Registró;1;1;0;1;0;1;0;2;0;0;1035.03;19;167.98;1
620260;53;2282;M;C;A;LIMA;139.77;1;2;57.17;12400;0;1;0;139;139;0;0;0;0;1;1;1;2;;N/V;No Registró;;0;0;0;0;0;0;0;0;0;1775.33;10;1387.23;1
555617;33;;F;S;D;LIMA;96.67;1;1;9.47;700;0;1;0;572;572;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;4240.1;34;566.13;1
2072616;58;4540;M;S;B;LIMA;14.2;1;1;13.13;6700;0;1;0;634;634;1;1;1;1;1;4;1;0;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3162.85;7;1397;1
296328;33;3050;F;C;C;LIMA;121.47;0;;;3450;0;2;0;3375;3375;1;1;2;2;2;4;2;2;;N/V;No Registró;0;0;0;0;0;0;0;3;2;0;6241.43;18;2841.7;1
130713;32;;F;S;A;LIMA;110.43;0;;;11700;0;3;0;4722;4722;2;1;9;4;2;1;1;2;;N/V;No Registró;0;11;0;0;0;0;0;1;0;0;10769.08;67;4459;1
1958850;26;;M;S;D;LIMA;18.8;0;;;700;0;1;0;360;360;1;1;2;1;0;0;0;0;;N/V;No Registró;0;0;0;0;0;0;0;0;1;0;958.45;8;414;1
1548922;58;;M;S;D;LIMA;37.3;1;1;8.57;700;0;1;0;365;365;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;1;0;544.55;26;362.22;1
26456;54;;F;S;C;LIMA;72.43;1;1;11.67;1600;5;7;0;1531;1531;B;A;4;2;4;9;A;4;;N/V;No Registró;1;1;0;31;31;62;0;0;2;1;1798.51;44;647.75;1
2202193;59;4066;F;S;N;AREQUIPA;9.23;1;1;7.87;3300;0;1;0;1476;1476;1;1;1;1;1;1;1;0;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3531.51;7;3178;1
1751041;34;;M;S;D;LIMA;28.27;1;1;28.2;500;0;2;226;135;361;2;2;2;2;2;2;2;1;;N/V;No Registró;0;0;0;0;0;0;400;0;0;0;618.21;13;179.96;1
1486370;27;6836;M;S;B;LIMA;40.43;1;2;11.73;6000;0;1;0;626;626;2;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;5338.35;39;1648;1
1279704;23;1600;M;S;C;LIMA;32.4;0;;;800;0;4;0;695;695;4;2;2;9;4;1;9;4;;N/V;No Registró;1;32;0;1;0;1;0;2;0;0;1871.58;23;447.3;1
2282851;30;;M;S;C;LIMA;6.4;1;1;6.33;900;0;3;0;889;889;4;4;2;1;1;;;;;N/V;No Registró;0;0;0;0;0;0;0;0;1;1;2721.99;39;658.75;1
2138009;53;1500;M;S;C;LIMA;11.6;0;;;1400;0;1;0;985;985;1;2;1;1;1;1;4;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3807.01;69;517;1
1474688;57;;F;S;D;LIMA;41.13;1;1;21.03;500;0;1;0;353;353;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;400;0;2;0;5987.04;87;1557.73;1
180033;29;3783;M;S;B;LIMA;109.17;0;;;4800;0;2;0;692;692;2;2;2;2;2;2;1;4;;N/V;No Registró;0;0;0;0;5;0;300;2;0;3;1731.96;13;505.7;1
1063877;50;779;F;S;N;PIURA;46.87;0;;;700;0;4;0;429;429;A;4;2;2;2;1;0;0;;N/V;No Registró;0;6;3;6;36;6;0;0;0;0;437;1;437;1
1033483;38;;M;S;C;LIMA;49.2;1;1;0.47;800;0;1;0;821;821;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;956;0;0;0;1166.56;92;351.09;1
418993;39;2069;F;S;B;LIMA;152.43;0;;;5100;0;2;0;38;38;4;1;1;2;1;0;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;1;0;3934.57;36;859.86;1
1476625;28;1500;M;S;C;LIMA;41;0;;;1200;0;2;219;432;651;2;1;2;2;2;1;2;2;;N/V;No Registró;0;1;0;0;0;0;0;0;3;0;3324.5;55;676.9;1
2019178;56;;F;C;C;LIMA;16.37;0;;;400;5;5;0;50;50;4;9;A;4;1;4;2;1;;N/V;No Registró;0;0;0;26;0;0;400;0;0;0;1137.35;29;233.6;1
1538396;31;;M;S;C;LIMA;37.73;1;2;17.67;1200;0;4;0;356;356;A;4;2;2;2;1;2;2;;N/V;No Registró;0;0;0;0;20;0;0;0;0;1;5551.01;61;834.62;1
69054;32;;M;S;D;LIMA;59.6;0;;;300;5;6;0;256;256;4;4;9;A;A;4;9;4;;N/V;No Registró;11;11;0;0;0;11;400;0;0;0;1051.5;13;449;1
2141622;31;2210;F;S;N;LA LIBERTAD;11.47;0;;;1200;0;3;0;430;430;1;2;9;4;2;2;1;A;;N/V;No Registró;0;0;18;0;0;0;0;0;0;0;5877.8;57;3299;1
1009928;53;;F;S;D;LIMA;51.07;0;;;700;5;5;0;677;677;1;4;2;A;A;4;9;4;;Ref.C;Registró Refinanciación;26;0;0;0;0;0;400;0;2;0;974.45;13;398.5;1
850118;32;3120;M;S;B;LIMA;82.4;1;1;18.4;4800;0;2;0;8351;8351;2;2;1;1;1;2;1;9;;N/V;No Registró;0;0;0;0;0;0;0;0;2;0;11250.17;91;4012;1
534631;55;1593;F;C;B;LIMA;99.3;0;;;5500;0;1;0;74;74;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;2631.25;17;1140.2;1
2157823;38;605;M;S;C;LIMA;10.9;1;1;10.87;800;0;2;0;455;455;1;2;2;2;2;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;1303.41;46;268.93;1
1406551;30;3831;M;S;C;LIMA;30.53;0;;;1400;0;6;0;854;854;B;A;4;1;1;9;4;1;;N/V;No Registró;0;0;0;21;0;0;0;2;2;0;1953.61;26;294.39;1
724326;54;;F;S;C;LIMA;90;0;;;1000;0;1;0;272;272;1;1;1;1;1;1;1;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1380.51;9;443.6;1
1877761;32;800;F;S;C;LIMA;22.87;1;2;20.37;1500;0;1;0;1500;1500;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;2802.44;48;536.78;1
817585;64;820;F;C;A;LIMA;115.67;0;;;8400;0;2;0;5770;5770;1;2;1;2;2;2;2;2;;N/V;No Registró;0;0;0;0;0;0;300;0;3;0;1821.79;11;1383.42;1
1935926;31;1305;M;S;N;LAMBAYEQUE;19.97;1;1;19.5;1300;5;3;0;147;147;4;1;1;1;1;2;9;4;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;789.5;23;352.3;1
2067620;22;;M;S;D;LIMA;14.33;0;;;400;0;2;0;355;355;2;1;1;7;4;2;1;1;;N/V;No Registró;0;0;0;0;0;0;956;0;0;0;1340.53;42;425.58;1
260292;41;2018;M;S;C;LIMA;140.77;1;1;38.9;1600;0;2;465;1786;2251;2;1;2;2;2;1;2;4;;N/V;No Registró;0;0;0;0;0;0;0;0;2;0;2555.2;51;306.07;1
1469990;32;5003;M;S;C;LIMA;41.47;1;1;8.67;3800;0;6;13113;3277;16390;4;9;4;9;4;7;A;4;;N/V;No Registró;1;1;0;31;0;1;0;2;0;0;1449.03;18;550;1
705765;29;1210;F;S;N;LA LIBERTAD;91.57;0;;;4100;5;2;0;4244;4244;2;1;1;2;2;2;1;1;;N/V;No Registró;0;0;0;0;0;0;;0;0;0;6899.48;56;1958.75;1
2082297;36;2000;M;S;D;LIMA;13.77;0;;;700;0;2;0;583;583;2;2;4;2;2;2;2;2;;N/V;No Registró;0;0;0;0;0;0;0;2;2;0;1572.41;13;350.55;1
608890;63;1698;F;C;A;LIMA;143.13;1;1;43.87;7700;0;1;0;72;72;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1778.13;35;705;1
946950;43;1990;M;C;B;LIMA;77.5;1;1;14.17;4100;0;1;0;545;545;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3437.51;35;399;1
1620616;66;;M;C;N;PIURA;34.2;1;1;32.83;1400;0;1;0;548;548;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;3369.93;43;651.02;1
1701767;40;;F;S;C;LIMA;30.47;0;;;1000;0;1;0;338;338;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;4294.38;26;1200;1
40896;29;2000;M;S;N;LAMBAYEQUE;71.23;0;;;1400;0;2;2526;2037;4564;4;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;21;;0;1;0;2265.5;20;972;1
1890136;44;863;F;S;N;CAJAMARCA;22.37;0;;;1600;0;1;274;454;728;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1652.63;32;446.53;1
1208075;33;;F;S;C;LIMA;15.43;0;;;800;0;1;0;656;656;1;2;1;2;2;2;1;1;;N/V;No Registró;1;1;0;0;0;1;0;0;0;0;1905.41;15;348.08;1
1191762;41;1543;M;S;C;LIMA;9.63;0;;;1200;0;2;0;519;519;2;2;1;2;1;1;2;1;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;1493.68;38;599;1
233229;47;;M;C;A;LIMA;154.43;1;1;11.73;7200;5;4;0;1618;1618;4;2;4;4;7;4;2;2;;N/V;No Registró;0;6;0;0;5;36;0;2;1;1;2074;20;422.5;1
25977;34;837;F;D;N;PIURA;72.47;0;;;2200;0;3;0;395;395;1;2;2;4;2;1;7;A;;N/V;No Registró;1;1;0;1;0;0;;0;1;0;5192.64;52;2444.5;1
384042;61;;M;C;C;LIMA;55.2;1;1;10.4;2700;0;2;3078;1562;4640;2;2;2;1;2;2;2;1;;N/V;No Registró;0;0;3;0;5;6;0;0;1;0;1506.22;29;451.39;1
394094;58;;M;C;B;LIMA;113.87;1;1;36.27;4100;0;3;733;267;1001;2;2;9;4;2;2;2;2;;N/V;No Registró;0;0;18;0;0;0;300;0;0;0;204.98;9;130.58;1
2150224;24;;F;S;N;LAMBAYEQUE;11.17;0;;;300;0;3;0;287;287;2;9;4;2;2;4;2;1;;N/V;No Registró;1;1;0;1;0;1;400;0;1;0;1239.82;28;289.6;1
874639;34;19215;F;S;C;LIMA;80.77;0;;;3200;0;1;0;35;35;1;1;1;1;1;0;1;1;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;3691.02;12;3088.9;1
408869;45;7312;F;S;A;LIMA;160.83;0;;;12250;0;1;0;497;497;1;1;2;1;1;1;1;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;7733.73;68;1798.07;1
2115336;47;2340;M;S;N;AREQUIPA;12.47;1;1;12.23;3000;5;4;0;1383;1383;4;2;1;9;4;9;4;2;;N/V;No Registró;1;32;0;1;0;31;0;1;0;0;4011.24;27;753.8;1
1042995;36;;F;S;C;LIMA;48.47;0;;;800;0;3;0;715;715;0;1;4;4;4;2;2;1;;N/V;No Registró;0;0;0;0;0;0;0;1;7;2;578.3;18;195.9;1
148959;35;;M;S;C;LIMA;63.93;0;;;800;0;4;0;755;755;9;4;2;7;4;2;1;2;;N/V;No Registró;0;21;0;0;20;0;0;2;0;0;740.04;5;410.62;1
258660;47;;M;C;C;LIMA;141.1;0;;;1700;0;7;0;1767;1767;1;2;B;B;B;A;A;A;;N/V;No Registró;51;52;49;0;0;0;0;0;0;0;3286.77;6;1523.8;1
